Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
2023-10-09,205.75096130371094,27583.677734375,1579.806640625,0.5032269954681396,212.1028594970703,27989.470703125,1635.4478759765625,0.5197669863700867,203.6554412841797,27302.5625,1553.0069580078125,0.49529099464416504,211.52261352539062,27934.47265625,1633.454833984375,0.517973005771637,416312027,12007668568,7020801716,989847649
2023-10-10,208.57687377929688,27391.01953125,1567.7130126953125,0.497435986995697,210.45428466796875,27715.84765625,1593.7413330078125,0.5032560229301453,205.75009155273438,27301.654296875,1553.03173828125,0.4932970106601715,205.75009155273438,27589.201171875,1580.112060546875,0.5032560229301453,441959353,9973350678,5254966125,670612869
2023-10-11,206.53341674804688,26873.3203125,1566.2547607421875,0.48883798718452454,208.7305450439453,27474.115234375,1578.2235107421875,0.49779099225997925,204.8092498779297,26561.099609375,1548.98046875,0.48085999488830566,208.58229064941406,27392.076171875,1567.6807861328125,0.49737900495529175,323117665,13648094333,5416504273,794253917
2023-10-12,205.2294158935547,26756.798828125,1539.6124267578125,0.48304998874664307,206.6591033935547,26921.439453125,1566.878173828125,0.4888570010662079,203.658447265625,26558.3203125,1523.237548828125,0.4756369888782501,206.53587341308594,26873.29296875,1566.35595703125,0.48879799246788025,302337006,9392909295,5003930677,812745907
2023-10-13,206.03611755371094,26862.375,1552.0894775390625,0.48569899797439575,207.94253540039062,27092.697265625,1571.7506103515625,0.4897890090942383,204.61761474609375,26686.322265625,1537.921142578125,0.4793410003185272,205.22579956054688,26752.87890625,1539.432861328125,0.4830490052700043,296977151,15165312851,4575141511,696915013
2023-10-14,206.60189819335938,26861.70703125,1555.2568359375,0.4867750108242035,207.02554321289062,26969.0,1560.3250732421875,0.4879800081253052,205.82728576660156,26814.5859375,1545.73876953125,0.48397400975227356,206.040283203125,26866.203125,1552.2637939453125,0.48568999767303467,203846460,5388116782,2429214718,357321203
2023-10-15,209.7425079345703,27159.65234375,1558.06982421875,0.4878459870815277,210.2316131591797,27289.169921875,1565.7608642578125,0.4899919927120209,206.47857666015625,26817.89453125,1550.5545654296875,0.4856649935245514,206.60028076171875,26858.01171875,1555.0760498046875,0.4867730140686035,352524312,7098201980,2923337883,385469444
2023-10-16,214.82395935058594,28519.466796875,1600.5343017578125,0.49797698855400085,217.12123107910156,29448.138671875,1628.15625,0.5054579973220825,209.74880981445312,27130.47265625,1555.9896240234375,0.48615700006484985,209.74880981445312,27162.62890625,1558.3134765625,0.4878380000591278,521099239,27833876539,8846928526,1082594336
2023-10-17,211.6432342529297,28415.748046875,1565.4395751953125,0.49169400334358215,215.01222229003906,28618.751953125,1601.294677734375,0.4981380105018616,210.38235473632812,28110.185546875,1554.4029541015625,0.48860499262809753,214.81211853027344,28522.09765625,1600.6356201171875,0.497981995344162,352621995,14872527508,5032686973,773438395
2023-10-18,210.50103759765625,28328.341796875,1563.7498779296875,0.4883190095424652,213.57627868652344,28889.009765625,1584.7269287109375,0.4922049939632416,210.09669494628906,28174.251953125,1556.736328125,0.48742198944091797,211.63619995117188,28413.53125,1565.3828125,0.49170398712158203,275336939,12724128586,4354138855,734621817
2023-10-19,211.1441650390625,28719.806640625,1567.45703125,0.52012699842453,211.41201782226562,28892.474609375,1573.7376708984375,0.5224959850311279,208.53712463378906,28177.98828125,1543.5850830078125,0.4786680042743683,210.4916229248047,28332.416015625,1563.9581298828125,0.4883120059967041,281310969,14448058195,5035110867,1385006018
2023-10-20,212.30084228515625,29682.94921875,1604.6668701171875,0.5160040259361267,216.1024169921875,30104.0859375,1628.6090087890625,0.5291029810905457,210.74655151367188,28601.669921875,1562.3028564453125,0.510004997253418,211.14505004882812,28732.8125,1567.5709228515625,0.5200780034065247,335590168,21536125230,6747486127,1369774008
2023-10-21,214.3056640625,29918.412109375,1629.304443359375,0.5212429761886597,215.61277770996094,30287.482421875,1641.2418212890625,0.5294820070266724,211.6225128173828,29481.751953125,1593.447998046875,0.5123289823532104,212.29852294921875,29683.380859375,1604.822265625,0.5159900188446045,267943731,11541146996,4212179634,656496071
2023-10-22,217.74737548828125,29993.896484375,1663.429931640625,0.5224869847297668,218.00485229492188,30199.43359375,1667.6666259765625,0.5238490104675293,213.83428955078125,29720.3125,1623.9847412109375,0.5160009860992432,214.3217315673828,29918.654296875,1629.2977294921875,0.5211979746818542,286771903,10446520040,5248406817,556378450
